Categoria;Especie;Numero;Ano;Data;NUP;Normativo;Situacao;Legislacao;Palavras;Descricao;Interessados;Correlacoes;Link
Administrativo;Parecer PFE;1;2025;06/01/2025;52402.004056/2019-22;Não;Vigente;Art. 74, caput da Lei nº 14.133, de 1º de abril de 2021. Arts. 579 a 585 do Código Civil de 2002 (Lei 10.406/2002).;Comodato. Imóvel. Parque Tecnológico da Paraíba. Inexigibilidade de licitação. ;1. Exame de minuta de Contrato de Comodato a ser celebrado entre o INPI e o Parque Tecnológico da Paraíba (PaqTcPB). 2. Direito Administrativo. Contratação direta por inexigibilidade de licitação. Art. 74, caput da Lei nº 14. 133, de 1º de abril de 2021. 3. Direito Civil. Contrato de Comodato de Imóvel em que a Administração Pública figura como comodatária. Incidência dos artigos 579 a 585 do Código Civil de 2002 (Lei 10. 406/2002). 4. Necessidade de complementação da instrução processual. 5. Inexistência de óbice jurídico, desde que observadas as recomendações feitas na presente manifestação. ;Parque Tecnológico da Paraíba;Parecer 30/2024 (52402. 004056/2019-22);https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/parecer-01_2025.pdf
Projeto de Lei;Parecer PFE;29;2024;09/12/2024;52402.013999/2024-11;Não;Vigente;Art. 91, § 2º, da Lei nº 9.279/1996;Projeto de Lei - Artigo 91 - LPI;Projeto de Lei 2. 141/2023 - Artigo 91 da Lpi;Presidência do INPI;Nota Técnica/SEI nº 2/2024/ INPI /AECON /DIREX /PR (1127507). ;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/28-parecer-cgpi-29_2024.pdf
Projeto de Lei;Nota PFE;10;2024;05/12/2024;52402.010384/2024-25;Não;Vigente;Arts. 189, 190, 199 e 202 da Lei nº 9.279/1996;Projeto de LeI - Contrafação marcas;Manifestação sobre o PL 3375/2024 - altera os arts. 189, 190, 199 e 202 da Lei nº 9. 279, de 14 de maio de 1996, que “regula direitos e obrigações relativos à propriedade industrial”;Presidência do INPI;"PARECER n. 00009/2020/CGPI/PFE-INPI/PGF/AGU;
PARECER n. 00020/2024/CGPI/PFE-INPI/PGF/AGU;
Projeto de Lei n. º2496/2024. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/13-nota-cgpi-10_2024.pdf
Projeto de Lei;Parecer PFE;27;2024;03/12/2024;52402.003060/2024-31;Não;Vigente;Arts. 6º, 19, 35 e 40 da Lei 9279/1996.;Projeto de Lei. Inteligência artificial;Manifestação a respeito do texto substitutivo a PL 303/2024 - Inteligência artificial;Presidência do INPI;"Nota Técnica/SEI nº 19/2024/INPI /DIRPA/PR;
PARECER n. 00024/2022/CGPI/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/27-parecer-cgpi-27_2024.pdf
LPI;Parecer PFE;26;2024;26/11/2024;52402.012810/2024-65;Não;Vigente;§ 2º, do Art. 216. da LPI.;Procuração - Partes- LPI;Consulta sobre interpretação do artigo 216 e adequação de procedimentos da DIRPA e da DIRMA;"DIRPA
DIRMA";"Ofício SEI nº 13​/2024/DIRPA /PR /INPI (SEI nº 1108973);
Nota Nº 0050-2014-AGU/PGF/PFE/INPI/COOPI-LBC-2. 2 (PROCESSO Nº MU7901506-9);
Parecer Normativo de 04 de Maio de 2000 (MEMO/INPI/DIRPA/Nº 194/2000);
Parecer nº 07/2017- AGU/PGF/PFE/INPI;COOPI - LBC-1. 0 (NUP 52400. 210571-2016-17;
PARECER /INPI/PROC/DICONS/N. o 060/2002 ( Prpc. INPI003341/02). ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/26-parecer-cgpi-26_2024.pdf
Indicações geográficas;Nota PFE;8;2024;05/11/2024;52402.010513/2024-85;Não;Vigente;Arts. 9º a 15 da Portaria/INPI/PR N.º 10, de 03 de fevereiro de 2022, que institui a Política de Comunicação do INPI ;IG - UFSC - Logomarca INPI;Histórias em Quadrinhos de Ig da Universidade Federal de Santa Catarina - Conteúdo e Uso da Logomarca do INPI. A Coordenação-Geral de Desenvolvimento da Propriedade Industrial, Negócios e Inovação (CGDI)submete à Procuradoria, por meio do Despacho (1092092), consulta sobre colaboração técnica do Instituto Nacional daPropriedade Industrial com o Departamento de Inovação da Universidade Federal de Santa Catarina (UFSC), no conteúdode Propriedade Industrial, bem com a autorização para uso da logomarca do INPI em materiais educativos sobre o tema(revista em quadrinhos, jogos de tabuleiros, mídias educativas etc. ).  ;"CGDI
UFSC";"Ofício Nº 31/2024/SINOVA/PROPESQ-UFSC;
PARECER n. 00055/2021/CGMA/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/12-nota-cgpi-08_2024.pdf
Normas;Parecer PFE;25;2024;29/10/2024;52402.012012/2024-33;Não;Vigente;"Art. 5º, inciso XIII, da Constituição da República.
 Lei nº 13.709, de 14 de agosto de 2018, a Lei Geral de Proteção de Dados.";Agente de propriedade industrial - fiscalização - profissão;PL 3876/2024 - regulamenta a atividade dos agentes da propriedade industrial e cria o órgão de fiscalização e controle da profissão;Presidência do INPI;"NOTA/INPI/PROC/DICONS/Nº 229/2002;
NOTA/INPI/PROC/DICONS/Nº 233/2002;
PARECER/INPI/DICONS/Nº 060/2002;
DESPACHO Nº09/210 do Procurador-Chefe;
DESPACHO Nº24/210 do Procurador-Chefe. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/25-parecer-cgpi-25_2024.pdf
Normas;Parecer PFE;24;2024;17/10/2024;52402.001426/2024-37;Não;Vigente; Art. 2º da Lei de Ação Popular (Lei n. 4.717/65).;Portaria - Global PPH;Minuta de Portaria relacionada ao Global PPH;CGREC;"Nota Técnica/SEI nº 2/2024/ INPI /SAESP /DIRPA /PR (0967730);
Processo administrativo nº 52402. 001426/2024-37;
PARECER n. 00015/2022/PROCGAB/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/24-parecer-cgpi-24_2024.pdf
Marcas;Parecer PFE;21;2024;02/10/2024;52402.008992/2024-70;Não;Vigente;Art. 124, VII, da Lei n.º 9.279, de 1996.;artigo 124 - LPI;Reinterpretação do inciso VII do artigo 124 da LPI;DIRMA;Nota Técnica/SEI nº 5/2024/ INPI /SEGEC /COGIR /DIRMA /PR;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/22-parecer-cgpi-21_2024.pdf
Programas de Computador;Nota PFE;6;2024;19/09/2024;52402.009803/2020-52;Não;Vigente;"Art. 5⁠º, inciso XXXIV, alínea ""a"" da Constituição da República.";Programa de Computador - Requerimento de Nulidade - Demanda do Comitê de Governança Digital (CGD) - Definição de Rito Processual;"Criação de serviço para ""requerimento de nulidade de programas de computador""";CGTEC;"PARECER n. 00020/2021/CGPI/PFE-INPI/PGF/AGU;
DESPACHO DE APROVAÇÃO n. 00069/2021/PROCGAB/PFE-INPI/PGF/AGU;
PARECER n. 00015/2024/CGPI/PFE-INPI/PGF/AGU;
DESPACHO DE APROVAÇÃO n. 00096/2024/PROCGAB/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/16-parecer-cgpi-15_2024.pdf
Ensino e Pesquisa;Parecer PFE;22;2024;19/09/2024;52402.010888/2024-45;Não;Vigente;"Art. 131 da Constituição Federal de 1988;
Art. 11, da Lei Complementar nº 73, de 10 de fevereiro de 1993;
Art. 2º, inciso V, da Lei nº 10.973, de 2 de dezembro de 2004 (Lei da Inovação Federal).";Academia - ICT;Caracterização da Academia de Propriedade Intelectual, Inovação e Desenvolvimento como Instituição Científica, Tecnológica e de Inovação (ICT);ACAD/INPI;Nota Técnica/SEI nº 1/2024/ INPI /ACAD /CGRH /DIRAD /PR, doc. 1083497;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/23-parecer-cgpi-22_2024.pdf
Marcas;Parecer PFE;18;2024;18/09/2024;52402.007872/2024-55;Não;Vigente;"Art. 6 bis (3) da Convenção da União de Paris - CUP.
Incisos I e II, do Art. 143 da LPI. 
Art. 128 da LPI, § 1º";Bancos de marcas - revenda;"Inquérito Civil nº 1. 25. 000. 007194/2023-44 - providências fiscalizadoras sancionatórias contra a empresa ROMPER ADMINISTRADORA DE MARCAS EIRELI em relação à prática de registros aleatórios utilizando-se de nomes de empresas já
existentes no mercado com o exclusivo fim de revenda, e para evitar registros visando à formação de ""bancos de marcas”";CGREC;NOTA JURÍDICA n. 00031/2024/CGCONT/PFE-INPI/PGF/AGU (1052131). ;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/19-parecer-cgpi-18_2024.pdf
Marcas;Parecer PFE;19;2024;23/08/2024;52402.008915/2024-10;Não;Vigente;"Art. 128, §1º da Lei n.º 9279, de 1996.
Art. 3º, incisos I e II da Lei n.º 14.790, de 29 de dezembro de 2023.";Produtos - Serviços - Jogos de azar;Licitude de Produtos ou Serviços Relativos a Jogos de Azar, após Vigência da Lei Nº 14. 790, de 29 de Dezembro de 2023;DIRMA;"Decreto-Lei n. º 3. 688, de 1941. 
Nota Técnica/SEI n. º 4/2024/ INPI /SEGEC /COGIR /DIRMA /PR. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/20-parecer-cgpi-19_2024.pdf
Marcas;Parecer PFE;20;2024;23/08/2024;52402.008104/2024-19;Não;Vigente;Arts. 128, § 1º, 129, § 1º, 124, V, XXIII e 126 da Lei n.º 9.279, de 1996.;Subsídios - PL 2496/2024 - registro fraudulento de marca;"Solicitação de Subsídios Pl 2496/2024, que Dispõe sobre ""o Registro Fraudulento de Marca e Dá Outras Providências""";"Presidência do INPI
DIRMA";PARECER n. 00009/2020/CGPI/PFE-INPI/PGF/AGU. ;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/21-parecer-cgpi-20_2024.pdf
Indicações geográficas;Parecer PFE;17;2024;14/08/2024;52402.007844/2024-38;Não;Vigente;Arts. 176 a 182 e 241 da Lei nº 9.279, de 14 de maio de 1996.;Projeto de Lei - Marco legal - Indicações geográficas - LPI;Minuta de Substitutivo ao Projeto de Lei N. 832/2024 para Atualização do Marco Legal de Indicações Geográficas, Alterando os Artigos 176 a 182 e 241 da Lei N. º 9. 279;"Presidência do INPI
DIRMA";"SEI nº 1047332. 
 Nota Técnica/SEI nº 2/2024/ INPI /DITEC-X /CGMID /DIRMA /PR";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/18-parecer-cgpi-17_2024.pdf
Normas;Parecer PFE;16;2024;06/08/2024;52402.004376/2024-40;Não;Vigente;"Art. 2º da Lei de Ação Popular (Lei nº 4.717, de 1965).
Art. 3º da Lei Complementar nº 95/98 e Art. 4º do Decreto nº 12.002, de 2024.";Normativo - procedimento administratovo - Contratos de tecnologia - Registro - Averbação;Alteração da normativas da CGTEC que tratam do procedimento administrativo e das diretrizes de exame dos contratos de tecnologia apresentados para registro e/ou averbação;CGTEC;"PARECER n, 00004/2020/CGPI/PFEINPI/PGF/AGU, que tratou do certificado digital;
PARECER n. 00035/2020/CGPI/PFE-INPI/PGF/AGU e NOTA n. 00016/2020/CGPI/PFE-INPI/PGF/AGU, que tratou da averbação de contratos de licença de uso envolvendo pedidos de registro de marca;
PARECER n. 00031/2021/CGPI/PFE-INPI/PGF/AGU e NOTA n. 00002/2023/PROCGAB/PFE- INPI/PGF/AGU, que tratou do licenciamento de know how e da adoção dos demais procedimentos previstos na presente minuta;
NOTA n. 00001/2023/CGPI/PFE-INPI/PGF/AGU, na qual se sugeriu a concessão de efeitos normativos ao PARECER nº 00031/2021/CGPI/PFE-INPI/PGF/AGU. 
PARECER n. 00009/2023/CGPI/PFE-INPI/PGF/AGU
PORTARIA/INPI/PR Nº 26 de 10 de julho de 2023 (1043860) 
PORTARIA/INPI/PR Nº 27 de 10 de julho de 2023 (1043864)";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/17-parecer-cgpi-16_2024.pdf
Programas de Computador;Parecer PFE;15;2024;01/08/2024;52402.009803/2020-52;Não;Vigente;Arts. 53, 54 e 55 da Lei n.º 9784, de 1999.;Programa de Computador - Requerimento de Nulidade - Demanda do Comitê de Governança Digital (CGD) - Definição de Rito Processual;"Criação de serviço para ""requerimento de nulidade de programas de computador""";CGTEC;"Instrução Normativa n. º 99, de 2019. 
";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/16-parecer-cgpi-15_2024.pdf
LPI;Nota PFE;5;2024;16/07/2024;52402.003728/2024-40;Não;Vigente;"Art. 2º, inciso I, do Decreto n. 10.139/2019.
Art. 9º da Portaria/INPI n.º 49, de 2021.";Suspensão de prazos - universidades em greve;Solicitação de suspensão de prazos no INPI - universidades federais;"Presidência do INPI
DIRPA
DIRMA";"Ofício SEI nº 10/2024/DIRPA/PR. Despacho (1041203);
PORTARIA/INPI/ Nº 49, de 03 de dezembro de 2021;
NOTA n. 00012/2021/CGPI/PFE-INPI/PGF/AGU;
PORTARIA/INPI/PR N. º 08, DE 05 DE MARÇO DE 2024 (0994742);
PARECER n. 00011/2023/CGPI/PFE-INPI/PGF/AGU;";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/7-nota-cgpi-5_2024.pdf
Projeto de Lei;Parecer PFE;13;2024;26/06/2024;52402.007675/2018-98;Não;Vigente;Parágrafo único do Art. 33 da Lei nº 9.279/1996.;Emenda - Lei de Propriedade Industrial;Impactos jurídicos e procedimentais da Retirada do Parágrafo Único Proposto pelo INPI de Emenda ao Art. 33 da Lei da Propriedade Industrial;"Presidência do INPI
DIRPA";"Despacho (106603);
Texto da emenda (1016628). ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/15-parecer-cgpi-13_2024.pdf
LPI;Nota PFE;2;2024;10/06/2024;52402.005594/2024-00;Não;Vigente;Art. 219, itens (I) e (III) da LPI.;Gratuidade. Hipossuficiente. Defensoria Pública. ;Pedido de Isenção de Taxa para a Prática de Atos Perante o Inpi - Ausência de previsão normativa;DIRMA;"NOTA TÉCNICA/SEI Nº 3/2024/ INPI /COGIR /DIRMA/PR (1016915);
Ofício Nº 7128419/2024 - DIARQ RJ de 22/05/2024 DPU (1015725) da Defensoria Pública da União-Estado do Rio de Janeiro;
Parecer INPI/PROC/DICONS/Nº 008/00;
Nota nº 0144-2014-AGU/PGF/PFE/INPI/COOPI, aprovada pelo Despacho nº0499/2014-AGU/PGF/PFE/INPI/COOPI-MSM-3. 2. 3;
PARECER n. 00009/2021/CGPI/PFE-INPI/PGF/AGU, aprovado por meio do DESPACHO DE APROVAÇÃO n. 00026/2021/PROCGAB/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/4-nota-cgpi-2_2024.pdf
Administrativo;Nota PFE;3;2024;06/06/2024;52402.005565/2024-30;Não;Vigente;Memorando de Entendimento entre a OMPI e o Governo da República Federativa do Brasil para a Promoção de Cooperação Técnica Trilateral nos Países em Desenvolvimento, de 09 de agosto de 2012;Vigência acordo OMPI e ABC;Consulta sobre prazo de vigência acordo OMPI e ABC;"Divisão de Relações Multilaterais
Agência Brasileira de Cooperação (ABC)
OMPI
";"Orientação Normativa nº 44/2014 – AGU;
SEI nº 28/2024/DIREM /COINT /GAB/PR (1015284);
PARECER REFERENCIAL n. 00001/2022/PROCGAB/PFE-INPI/PGF/AGU;
(Processo NUP: 52402. 008352/2018-11). ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/6-nota-cgpi-3_2024.pdf
Normas;Nota PFE;1;2024;03/06/2024;52402.011283/2023-91;Não;Vigente;Art. 36, § 2º, e Art. 37 LPI.;NORMA PATENTE;Nova portaria normativa (0920571) que regula e consolida as especificações de apresentação dos pedidos de patente em substituição às Instruções Normativas 30/2013 (0899430) e 31/2013 (0899432). ;DIRPA;Parecer 00005/2024/CGPI/PFE-INPI/PGF/AGU;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/8-parecer-cgpi-05_2024.pdf
Marcas;Parecer PFE;12;2024;30/04/2024;52402.004128/2024-07;Não;Vigente;"Art. 87, da Lei nº 9.615/98.
Arts. 122, 124, 125, 126, 128 e nos §§ 1º e 2º do Art. 129";Aplicabilidade LDA. PAN. Marcas;Consulta sobre a Aplicabilidade da Lei 9. 615/1998 em Processo Administrativo de Nulidade de Marcas. ;CGREC;NOTA TÉCNICA/SEI Nº 49/2024/ INPI /COREM /CGREC /PR (0997915);https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/14-parecer-cgpi-12_2024.pdf
LPI;Parecer PFE;6;2024;08/03/2024;52402.000771/2024-53;Não;Vigente;"Art. 5º da Lei 9279/1996. 
 Art. 436, do Código Civil.
 Art. 2º, da Lei 5.648/1970.";Cláusula contrato de financiamento público. PI;Consulta à Procuradoria Federal Especializada sobre Cláusula em contrato de financiamento público. ;BNDES;"PARECER n. 00031/2021/CGPI/PFE-INPI/PGF/AGU;
PARECER n. 00008/2019/PROCGAB/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2024/9-parecer-cgpi-06_2024.pdf
